ID,NAME,PRICE,COST,UNIT
1,بيبر صوص,135,0,packet
2,ماشروم صوص,135,0,packet
3,هالبينو,135,0,packet
4,سويت ان ثاور ,135,0,packet
5,اولد سكول ,125,0,packet
6,بيج مايو,135,0,packet
7,هوت مسترد,135,0,packet
8,bun&beat  برجر,150,26,packet
9,هوين برجر,140,0,packet
10,اتشكن زنجر,117,0,packet
11,اتشكن راب,110,0,packet
12,تشكن رانش,120,0,packet
13,موزريلا استكس,52,0,packet
14,حلقات بصل,62,0,packet
15,استربس,85,0,packet
16,دينر بوكس,175,0,packet
17,سوبر دينر,253,0,packet
18,جراند بوكس ,387,0,packet
19,فاملي بوكس ,526,0,packet
20,مينى بوكس ,85,0,packet
21,سناكس بوكس ,114,0,packet
22,كلو سلو,30,0,packet
23,بطاطس,31,0,packet
24,زبادي بلخيار,27,0,packet
25,مكس جرين,23,0,packet
26,صوص شيدر,34,0,packet
27,باربيكيو عسل,12,0,packet
28,رانش,12,0,packet
33,مياة ,10,0,packet
34,بيج كولا,15,0,packet
35,قهوة تركي سينجل,23,0,packet
36,قهوة تركي دبل,36,0,packet
37,لاتيه,40,0,packet
38,اسبريسو سينجل,32,0,packet
39,اسبريسو دبل,57,0,packet
40,موخيتو فلفر,45,0,packet
41,اسموزي باشون اناناس,48,0,packet
42,اسموزي فراوله,50,0,packet
43,كابتشينو,55,0,packet
44,هوت شوكلت,45,0,packet
45,ميلك تشيك فراوله,50,0,packet
46,exفلفر,10,0,packet
47,باكت بطاطس لارج ,32,0,packet
48,شاي,20,0,packet
49,ميكاتو,42,0,packet
50,ميكاتو دبل,50,0,packet
51,كورتادو,49,0,packet
52,فلات وايت,57,0,packet
53,اميركانو,55,0,packet
54,سبانيش لاتيه,58,0,packet
55,موكا,58,0,packet
56,كراميل ميكاتو,60,0,packet
57,بستاشيو لاتيه,70,0,packet
58,قهوة فرنسي,30,0,packet
59,ايس امريكانو,50,0,packet
60,ايس كابتشينو,70,0,packet
61,ايس سبانيش لاتيه,55,0,packet
62,ايس كراميل ميكاتو,65,0,packet
63,ايس وايت موكا,57,0,packet
64,لاتيه فرابيه,75,0,packet
65,موكا فرابيه وايت او دارك,65,0,packet
66,لاوتس فرابيه,65,0,packet
67,كوكيز فرابيه,62,0,packet
68,كرامل فرابيه,51,0,packet
69,شوكلات فرابيه,46,0,packet
70,سموزي مانجا,55,0,packet
71,سموزي ليمون نعناع,40,0,packet
72,سموزي برتقال اناناس,52,0,packet
73,سموزي بطيخ نعناع,48,0,packet
74,فراوله,45,0,packet
75,مانجا,50,0,packet
76,لمون نعناع,40,0,packet
77,برتقال,40,0,packet
78,بطيخ,45,0,packet
79,صن شاين,36,0,packet
80,ميلك شيك مانجو,50,0,packet
81,ميلك شيك شوكلات,50,0,packet
82,ميلك شيك فانيلا,50,0,packet
83,شيك بلو بري,51,0,packet
84,شيك اوريو,70,0,packet
85,شيكلوتس,75,0,packet
86,شيك زبده فول سوداني,80,0,packet
87,شيك كوكيز,80,0,packet
89,اسموزي ميكس بيري,60,0,packet
90,ايس لاتيه,52,0,packet
91,عرض دينر بوكس,175,0,packet
92,سندوتش هدية,0,0,packet
93,بيف لافر,365,0,packet
94,اضافه عيش,10,0,packet
95,بيت بوكس ,343,0,packet
96,بكت بطاطس صغير,25,0,packet
97,بيت بوكس,343,0,packet
98,تشيكن شير ,305,0,packet
99,شكن شير,305,0,packet
100,عرض دينر بوكس طلبات,149,0,packet
101,عرض اولد سكول طلبات,99,0,packet
102,عرض مشروم صوص طلبات,99,0,packet
103,عرض زينجر طلبات,99,0,packet
104,عرض تشكن رانش طلبات,99,0,packet
106,راب بوكس,327,0,packet
107,كولا,20,0,packet
108,قطعه بيف ,60,0,packet
109,قطعه زينجر,50,0,packet
110,ينسون,20,0,packet
113,اضافه فلفر,20,0,packet
116,اتشكن فيليه ,117,0,packet
117,اولد سكول دبل,185,0,packet
118,كلوب سندوتش ,65,0,packet
119,اومليت رول,60,0,packet
120,وافل بابلز,65,0,packet
121,فلات كرواسون,75,0,packet
122,كرواسون سندوتش,100,0,packet
123,بابلز وافلز,60,0,packet
124,ميني بان كيك,60,0,packet
125,تاكو ايس كريم,65,0,packet
126,تاكو رول,40,0,packet
127,كريب رول,75,0,packet
129,فيتوتشيني كريب,65,0,packet
130,سوشي كريب,60,0,packet
132,فطيره كنافه ,95,0,packet
133,فرنش توست,60,0,packet
134,ترليتشي,60,0,packet
135,ايس تي بوبا,65,0,packet
136,عرض الراب مع بطاطس,100,0,packet
137,عرض كلوب سندوتش-مشروب,85,0,packet
138,عرض اومليت رول -برتقال فريش,85,0,packet
139,عرض وافل بابلز-مشروب,85,0,packet
140,عرض الطلبه(تشيكن راب-سندوتش بطاطس),100,0,packet
